timestamp,price,sma,vol,signal
1779101280000,76812.30000000,76784.48000000,31.40537534,Hold
1779101340000,76763.90000000,76791.04000000,21.40295307,Sell
1779101400000,76766.20000000,76789.86000000,22.54671595,Sell
1779101460000,76777.60000000,76787.64000000,23.09152225,Hold
1779101520000,76770.50000000,76778.10000000,17.72512341,Hold
1779101580000,76744.50000000,76764.54000000,11.05307197,Sell
1779101640000,76736.70000000,76759.10000000,15.73238698,Sell
1779101700000,76735.00000000,76752.86000000,17.73838775,Sell
1779101760000,76745.50000000,76746.44000000,12.72220107,Hold
1779101820000,76735.00000000,76739.34000000,4.67358535,Hold
1779101880000,76720.60000000,76734.56000000,7.99414786,Sell
1779101940000,76699.00000000,76727.02000000,16.09476934,Sell
1779102000000,76640.50000000,76708.12000000,37.23221186,Sell
1779102060000,76654.10000000,76689.84000000,36.82741370,Hold
1779102120000,76677.30000000,76678.30000000,29.09728510,Hold
1779102180000,76680.30000000,76670.24000000,20.60656206,Hold
1779102240000,76680.10000000,76666.46000000,16.25910207,Hold
1779102300000,76674.50000000,76673.26000000,9.81134038,Hold
1779102360000,76621.20000000,76666.68000000,22.83842376,Sell
1779102420000,76650.90000000,76661.40000000,22.82454819,Hold
1779102480000,76663.40000000,76658.02000000,20.94978759,Hold
1779102540000,76602.10000000,76642.42000000,26.89679535,Sell
1779102600000,76645.30000000,76636.58000000,22.02647498,Hold
1779102660000,76680.40000000,76648.42000000,26.10956913,Buy
1779102720000,76677.40000000,76653.72000000,28.64188541,Hold
1779102780000,76685.80000000,76658.20000000,31.42247603,Hold
1779102840000,76676.30000000,76673.04000000,14.25574972,Hold
1779102900000,76668.10000000,76677.60000000,5.78031141,Sell
1779102960000,76672.40000000,76676.00000000,5.88999151,Hold
1779103020000,76715.20000000,76683.56000000,16.86636890,Buy
1779103080000,76733.80000000,76693.16000000,26.38413159,Buy
1779103140000,76770.40000000,76711.98000000,38.44842780,Buy
1779103200000,76736.80000000,76725.72000000,32.05635038,Hold
1779103260000,76750.10000000,76741.26000000,18.34094872,Hold
1779103320000,76720.60000000,76742.34000000,16.87502296,Sell
1779103380000,76720.60000000,76739.70000000,18.91391023,Sell
1779103440000,76750.60000000,76735.74000000,13.31609552,Buy
1779103500000,76770.60000000,76742.50000000,19.35045219,Buy
1779103560000,76775.10000000,76747.50000000,23.46145776,Buy
1779103620000,76768.90000000,76757.16000000,20.09961194,Hold
1779103680000,76759.10000000,76764.86000000,8.83914023,Hold
1779103740000,76730.00000000,76760.74000000,16.23361944,Sell
1779103800000,76710.40000000,76748.70000000,24.61601105,Sell
1779103860000,76728.70000000,76739.42000000,21.45780977,Hold
1779103920000,76740.30000000,76733.70000000,15.93925971,Hold
1779103980000,76816.60000000,76745.20000000,36.97647901,Buy
1779104040000,76873.50000000,76773.90000000,61.55923976,Buy
1779104100000,76873.50000000,76806.52000000,62.47445558,Buy
1779104160000,76836.00000000,76827.98000000,49.04232458,Hold
1779104220000,76817.00000000,76843.32000000,25.62010148,Sell
1779104280000,76837.30000000,76847.46000000,22.44340438,Hold
1779104340000,77080.20000000,76888.80000000,97.43036488,Buy
1779104400000,77115.90000000,76937.28000000,131.94858696,Buy
1779104460000,77281.60000000,77026.40000000,176.43066627,Buy
1779104520000,77236.10000000,77110.22000000,155.32911382,Hold
1779104580000,77213.70000000,77185.50000000,75.52888189,Hold
1779104640000,77275.90000000,77224.64000000,59.91232261,Hold
1779104700000,77224.20000000,77246.30000000,27.48621473,Hold
1779104760000,77204.10000000,77230.80000000,24.94377678,Sell
1779104820000,77185.50000000,77220.68000000,30.40686765,Sell
1779104880000,77188.00000000,77215.54000000,33.19654199,Hold
1779104940000,77202.60000000,77200.88000000,13.85343279,Hold
1779105000000,77151.50000000,77186.34000000,18.95833326,Sell
1779105060000,77164.90000000,77178.50000000,18.07772110,Hold
1779105120000,77151.50000000,77171.70000000,20.40989956,Hold
1779105180000,77167.70000000,77167.64000000,18.71209235,Hold
1779105240000,77221.70000000,77171.46000000,25.99242967,Buy
1779105300000,77237.30000000,77188.62000000,34.18247504,Buy
1779105360000,77204.50000000,77196.54000000,32.30514510,Hold
1779105420000,77224.40000000,77211.12000000,24.09484592,Hold
1779105480000,77219.10000000,77221.40000000,10.51475154,Hold
1779105540000,77201.00000000,77217.26000000,13.29038750,Sell
1779105600000,77245.30000000,77218.86000000,15.84305526,Buy
1779105660000,77304.10000000,77238.78000000,35.58265870,Buy
1779105720000,77364.10000000,77266.72000000,59.87608538,Buy
1779105780000,77219.20000000,77266.74000000,59.86019044,Hold
1779105840000,77231.90000000,77272.92000000,54.06908174,Hold
1779105900000,77271.60000000,77278.18000000,52.37913325,Hold
1779105960000,77296.80000000,77276.72000000,51.73406615,Hold
1779106020000,77402.00000000,77284.30000000,65.04552252,Buy
1779106080000,77372.80000000,77315.02000000,63.29336142,Hold
1779106140000,77383.70000000,77345.38000000,51.43852253,Hold
1779106200000,77389.90000000,77369.04000000,37.33409166,Hold
1779106260000,77361.60000000,77382.00000000,13.90035971,Sell
1779106320000,77365.00000000,77374.60000000,10.78239306,Hold
1779106380000,77353.90000000,77370.82000000,13.67558408,Sell
1779106440000,77363.20000000,77366.72000000,12.19203018,Hold
1779106500000,77330.30000000,77354.80000000,12.82107640,Sell
1779106560000,77332.10000000,77348.90000000,14.94590245,Sell
1779106620000,77353.60000000,77346.62000000,13.06742515,Hold
1779106680000,77368.00000000,77349.44000000,15.60853613,Buy
1779106740000,77370.50000000,77350.90000000,17.09771915,Buy
1779106800000,77367.80000000,77358.40000000,14.43371054,Hold
1779106860000,77397.30000000,77371.44000000,14.23356596,Buy
1779106920000,77413.70000000,77383.46000000,18.75213055,Buy
1779106980000,77419.10000000,77393.68000000,21.29398037,Buy
1779107040000,77451.80000000,77409.94000000,27.51672946,Buy
1779107100000,77438.10000000,77424.00000000,19.05066928,Hold
1779107160000,77343.50000000,77413.24000000,37.42489011,Sell
1779107220000,77256.80000000,77381.86000000,72.87366054,Sell
1779107280000,77297.80000000,77357.60000000,76.53676241,Hold
1779107340000,77287.20000000,77324.68000000,63.17162021,Hold
1779107400000,77235.30000000,77284.12000000,37.01996218,Sell
1779107460000,77264.30000000,77268.28000000,22.20228817,Hold
1779107520000,77308.80000000,77278.68000000,26.20682354,Buy
1779107580000,77395.50000000,77298.22000000,54.41740163,Buy
1779107640000,77493.00000000,77339.38000000,93.97164253,Buy
1779107700000,77506.40000000,77393.60000000,96.45448668,Buy
1779107760000,77441.00000000,77428.94000000,71.83457663,Hold
1779107820000,77463.90000000,77459.96000000,39.44213990,Hold
1779107880000,77527.90000000,77486.44000000,30.76755434,Buy
1779107940000,77577.00000000,77503.24000000,47.91678620,Buy
1779108000000,77580.50000000,77518.06000000,57.16826392,Buy
1779108060000,77620.80000000,77554.02000000,53.83810546,Buy
1779108120000,77651.10000000,77591.46000000,41.92100190,Buy
1779108180000,77644.10000000,77614.70000000,31.04016753,Hold
1779108240000,77655.10000000,77630.32000000,27.59857967,Hold
1779108300000,77681.20000000,77650.46000000,19.42705330,Buy
1779108360000,77675.10000000,77661.32000000,14.31620061,Hold
1779108420000,77636.70000000,77658.44000000,17.23364152,Sell
1779108480000,77618.70000000,77653.36000000,23.36489675,Sell
1779108540000,77614.40000000,77645.22000000,27.97551787,Sell
1779108600000,77601.00000000,77629.18000000,25.64210600,Sell
1779108660000,77544.00000000,77602.96000000,31.61370589,Sell
1779108720000,77581.90000000,77592.00000000,27.20904261,Hold
1779108780000,77521.30000000,77572.52000000,34.89959312,Sell
1779108840000,77541.50000000,77557.94000000,29.10440516,Hold
1779108900000,77530.40000000,77543.82000000,20.70143956,Hold
1779108960000,77552.20000000,77545.46000000,20.97375503,Hold
1779109020000,77536.00000000,77536.28000000,10.38987969,Hold
1779109080000,77541.20000000,77540.26000000,7.21598226,Hold
1779109140000,77558.70000000,77543.70000000,10.38922519,Buy
1779109200000,77554.10000000,77548.44000000,8.46890784,Hold
1779109260000,77498.80000000,77537.76000000,21.15793941,Sell
1779109320000,77448.70000000,77520.30000000,41.57552164,Sell
1779109380000,77410.60000000,77494.18000000,58.01487395,Sell
1779109440000,77444.10000000,77471.26000000,50.09425516,Hold
1779109500000,77435.30000000,77447.50000000,28.82755626,Hold
1779109560000,77434.80000000,77434.70000000,13.15705134,Hold
1779109620000,77465.10000000,77437.98000000,17.54940455,Buy
1779109680000,77424.50000000,77440.76000000,13.66244488,Sell
1779109740000,77415.20000000,77434.98000000,16.78349189,Sell
1779109800000,77401.40000000,77428.20000000,21.47603315,Sell
1779109860000,77413.80000000,77424.00000000,21.82521478,Hold
1779109920000,77459.90000000,77422.96000000,19.87909455,Buy
1779109980000,77442.10000000,77426.48000000,21.34435757,Hold
1779110040000,77427.30000000,77428.90000000,20.60126210,Hold
1779110100000,77357.40000000,77420.10000000,34.90232084,Sell
1779110160000,77342.50000000,77405.84000000,47.02380674,Sell
1779110220000,77351.50000000,77384.16000000,41.80055502,Hold
1779110280000,77340.60000000,77363.86000000,32.29988235,Hold
1779110340000,77346.20000000,77347.64000000,6.13534025,Hold
1779110400000,77330.00000000,77342.16000000,7.12701901,Sell
1779110460000,77319.00000000,77337.46000000,11.66012007,Sell
1779110520000,77329.20000000,77333.00000000,9.50199979,Hold
1779110580000,77351.40000000,77335.16000000,11.90724149,Buy
1779110640000,77319.10000000,77329.74000000,11.81585376,Hold
1779110700000,77270.60000000,77317.86000000,26.41920514,Sell
1779110760000,77299.00000000,77313.86000000,27.43819236,Hold
1779110820000,77245.80000000,77297.18000000,36.79676073,Sell
1779110880000,77228.50000000,77272.60000000,33.24533050,Sell
1779110940000,77221.10000000,77253.00000000,28.61978337,Sell
1779111000000,77168.50000000,77232.58000000,42.05013199,Sell
1779111060000,77132.00000000,77199.18000000,42.35088665,Sell
1779111120000,77101.00000000,77170.22000000,49.47821339,Sell
1779111180000,77148.80000000,77154.28000000,40.08068862,Hold
1779111240000,77080.10000000,77126.08000000,31.91823303,Sell
1779111300000,77136.90000000,77119.76000000,25.34471148,Hold
1779111360000,76822.50000000,77057.86000000,120.22263680,Sell
1779111420000,76735.10000000,76984.68000000,171.93243324,Sell
1779111480000,76929.40000000,76940.80000000,151.19328027,Hold
1779111540000,76969.70000000,76918.72000000,136.59438349,Hold
1779111600000,76859.50000000,76863.24000000,82.22465810,Hold
1779111660000,76815.60000000,76861.86000000,82.95151837,Hold
1779111720000,76737.40000000,76862.32000000,82.25072401,Sell
1779111780000,77018.40000000,76880.12000000,102.08128918,Buy
1779111840000,76740.50000000,76834.28000000,103.01998641,Hold
1779111900000,76870.90000000,76836.56000000,103.67697141,Hold
1779111960000,76796.30000000,76832.70000000,104.73931449,Hold
1779112020000,76902.00000000,76865.62000000,95.02987741,Hold
1779112080000,76880.80000000,76838.10000000,60.42406805,Hold
1779112140000,76867.10000000,76863.42000000,35.67931614,Hold
1779112200000,76933.90000000,76876.02000000,45.78809452,Buy
1779112260000,76906.70000000,76898.10000000,22.93948561,Hold
1779112320000,76921.30000000,76901.96000000,24.81786453,Hold
1779112380000,76997.60000000,76925.32000000,42.54514778,Buy
1779112440000,76974.30000000,76946.76000000,33.94569781,Hold
1779112500000,76910.60000000,76942.10000000,36.86499695,Hold
1779112560000,76966.50000000,76954.06000000,32.93063012,Hold
1779112620000,76842.80000000,76938.36000000,55.66911532,Sell
1779112680000,76852.50000000,76909.34000000,55.04000727,Sell
1779112740000,76879.10000000,76890.30000000,44.78629255,Hold
1779112800000,76816.40000000,76871.46000000,51.58188054,Sell
1779112860000,76799.10000000,76837.98000000,27.93659965,Sell
1779112920000,76734.20000000,76816.26000000,49.57929407,Sell
1779112980000,76763.10000000,76798.38000000,49.40588629,Hold
1779113040000,76889.90000000,76800.54000000,52.99353168,Buy
1779113100000,76742.30000000,76785.72000000,56.71643148,Hold
1779113160000,76770.00000000,76779.90000000,56.53759811,Hold
1779113220000,76678.60000000,76768.78000000,68.61111863,Sell
1779113280000,76722.00000000,76760.56000000,71.21192597,Hold
1779113340000,76790.10000000,76740.60000000,38.74909031,Buy
